NewId,NewSleepDate,Total_Minutes_Asleep,Total_Time_In_Bed
1503960366,4/12/2016,327,346
1503960366,4/13/2016,384,407
1503960366,4/15/2016,412,442
1503960366,4/16/2016,340,367
1503960366,4/17/2016,700,712
1503960366,4/19/2016,304,320
1503960366,4/20/2016,360,377
1503960366,4/21/2016,325,364
1503960366,4/23/2016,361,384
1503960366,4/24/2016,430,449
1503960366,4/25/2016,277,323
1503960366,4/26/2016,245,274
1503960366,4/28/2016,366,393
1503960366,4/29/2016,341,354
1503960366,4/30/2016,404,425
1503960366,5/1/2016,369,396
1503960366,5/10/2016,383,403
1503960366,5/11/2016,285,306
1503960366,5/2/2016,277,309
1503960366,5/3/2016,273,296
1503960366,5/5/2016,247,264
1503960366,5/6/2016,334,367
1503960366,5/7/2016,331,349
1503960366,5/8/2016,594,611
1503960366,5/9/2016,338,342
1644430081,4/29/2016,119,127
1644430081,4/30/2016,124,142
1644430081,5/2/2016,796,961
1644430081,5/8/2016,137,154
1844505072,4/15/2016,644,961
1844505072,4/30/2016,722,961
1844505072,5/1/2016,590,961
1927972279,4/12/2016,750,775
1927972279,4/13/2016,398,422
1927972279,4/15/2016,475,499
1927972279,4/26/2016,296,315
1927972279,4/28/2016,166,178
2026352035,4/12/2016,503,546
2026352035,4/13/2016,531,565
2026352035,4/14/2016,545,568
2026352035,4/15/2016,523,573
2026352035,4/16/2016,524,567
2026352035,4/17/2016,437,498
2026352035,4/19/2016,498,540
2026352035,4/20/2016,461,510
2026352035,4/21/2016,477,514
2026352035,4/22/2016,520,545
2026352035,4/23/2016,522,554
2026352035,4/24/2016,555,591
2026352035,4/25/2016,506,531
2026352035,4/27/2016,508,545
2026352035,4/28/2016,513,545
2026352035,4/29/2016,490,510
2026352035,4/30/2016,573,607
2026352035,5/1/2016,527,546
2026352035,5/10/2016,357,380
2026352035,5/11/2016,523,553
2026352035,5/12/2016,456,485
2026352035,5/2/2016,511,543
2026352035,5/4/2016,538,560
2026352035,5/5/2016,468,485
2026352035,5/6/2016,524,548
2026352035,5/7/2016,511,521
2026352035,5/8/2016,541,568
2026352035,5/9/2016,531,556
2320127002,4/23/2016,61,69
2347167796,4/13/2016,467,531
2347167796,4/14/2016,445,489
2347167796,4/15/2016,452,504
2347167796,4/17/2016,556,602
2347167796,4/18/2016,500,557
2347167796,4/19/2016,465,514
2347167796,4/21/2016,460,484
2347167796,4/22/2016,405,461
2347167796,4/23/2016,374,386
2347167796,4/24/2016,442,459
2347167796,4/25/2016,433,471
2347167796,4/26/2016,436,490
2347167796,4/27/2016,448,499
